"Year","Month","Site_No","No_Readings","Ave"
1970,1,7,31,4.14
1970,1,13,31,3.75
1970,2,7,28,5.08
1970,2,13,28,4.93
1970,3,7,31,5.22
1970,3,13,31,4.5
1970,4,7,30,5.03
1970,4,13,30,5.05
1970,5,7,31,4.52
1970,5,13,31,3.47
1970,6,7,30,4.18
1970,6,13,30,3.36
1970,7,7,31,4.6
1970,7,13,31,4.39
1970,8,7,31,3.41
1970,8,13,31,3.17
1970,9,7,30,4.74
1970,9,13,30,4.38
1970,10,7,31,5.3
1970,10,13,31,4.69
1970,11,7,30,5.4
1970,11,13,30,4.96
1970,12,7,31,4.16
1970,12,13,31,3.41
1971,1,7,31,4.74
1971,1,13,31,5.03
1971,2,7,28,5.04
1971,2,13,28,4.6
1971,3,7,31,4.54
1971,3,13,31,4.77
1971,4,7,30,4.16
1971,4,13,30,3.87
1971,5,7,31,3.84
1971,5,13,31,3.07
1971,6,7,30,3.97
1971,6,13,30,3.99
1971,7,7,31,3.73
1971,7,13,31,3.1
1971,8,7,31,4.12
1971,8,13,31,3.96
1971,9,7,30,3.14
1971,9,13,30,2.74
1971,10,7,31,4.59
1971,10,13,31,4.26
1971,11,7,30,5.48
1971,11,13,30,4.94
1971,12,7,31,5.56
1971,12,13,31,4.31
1972,1,7,31,5.36
1972,1,13,31,4.39
1972,2,7,29,3.9
1972,2,13,29,3.92
1972,3,7,31,5.15
1972,3,13,31,4.42
1972,4,7,30,5.91
1972,4,13,30,5.15
1972,5,7,31,4.96
1972,5,13,31,4.49
1972,6,7,30,4.08
1972,6,13,30,4.18
1972,7,7,31,3.53
1972,7,13,31,3.74
1972,8,7,31,4.03
1972,8,13,31,3.61
1972,9,7,30,3.17
1972,9,13,30,3.15
1972,10,7,31,3.22
1972,10,13,31,3.42
1972,11,7,30,5.58
1972,11,13,30,5.36
1972,12,7,31,4.77
1972,12,13,31,5.08
1973,1,7,31,3.46
1973,1,13,31,3.73
1973,2,7,28,5.12
1973,2,13,28,4.98
1973,3,7,31,3.89
1973,3,13,31,4.01
1973,4,7,30,5.58
1973,4,13,30,5.44
1973,5,7,31,4.52
1973,5,13,31,5.08
1973,6,7,30,4.36
1973,6,13,30,3.77
1973,7,7,31,4.5
1973,7,13,31,3.79
1973,8,7,31,3.68
1973,8,13,31,3.81
1973,9,7,30,3.93
1973,9,13,30,4.4
1973,10,7,31,3.73
1973,10,13,31,3.96
1973,11,7,30,6.23
1973,11,13,30,5.77
1973,12,7,31,5.84
1973,12,13,31,5.62
1974,1,7,31,5.94
1974,1,13,31,6
1974,2,7,28,5.28
1974,2,13,28,5.47
1974,3,7,31,4.96
1974,3,13,31,3.75
1974,4,7,30,4.74
1974,4,13,30,4.02
1974,5,7,31,4.71
1974,5,13,31,4.01
1974,6,7,30,4.54
1974,6,13,30,3.64
1974,7,7,31,5.53
1974,7,13,31,4.81
1974,8,7,31,3.49
1974,8,13,31,3.69
1974,9,7,30,5.36
1974,9,13,30,5.44
1974,10,7,31,4.3
1974,10,13,31,4.18
1974,11,7,30,5.6
1974,11,13,30,5.98
1974,12,7,31,7.67
1974,12,13,31,7.15
1975,1,7,31,6.94
1975,1,13,31,6.69
1975,2,7,28,3.46
1975,2,13,28,4.08
1975,3,7,31,4.68
1975,3,13,31,4.55
1975,4,7,30,4.84
1975,4,13,30,3.93
1975,5,7,31,5
1975,5,13,31,4.15
1975,6,7,30,4.31
1975,6,13,30,3.81
1975,7,7,31,4.21
1975,7,13,31,3.61
1975,8,7,31,3.49
1975,8,13,31,3.9
1975,9,7,30,4.7
1975,9,13,30,4.94
1975,10,7,31,4.07
1975,10,13,31,4.13
1975,11,7,30,4.65
1975,11,13,30,4.44
1975,12,7,31,5.61
1975,12,13,31,4.99
1976,1,7,31,7.29
1976,1,13,31,7.13
1976,2,7,29,4.68
1976,2,13,29,4.5
1976,3,7,31,5.12
1976,3,13,31,4.79
1976,4,7,30,4.53
1976,4,13,30,4.5
1976,5,7,31,3.95
1976,5,13,31,4.23
1976,6,7,30,3.49
1976,6,13,30,3.69
1976,7,7,31,3.75
1976,7,13,31,3.55
1976,8,7,31,3.5
1976,8,13,31,3.48
1976,9,7,30,3.29
1976,9,13,30,3.43
1976,10,7,31,3.91
1976,10,13,31,4.45
1976,11,7,30,4.27
1976,11,13,30,4.78
1976,12,7,31,4.53
1976,12,13,31,4.69
1977,1,7,31,4.85
1977,1,13,31,5.06
1977,2,7,28,5.29
1977,2,13,28,5.26
1977,3,7,31,5.53
1977,3,13,31,4.53
1977,4,7,30,6.55
1977,4,13,30,5.08
1977,5,7,31,5.09
1977,5,13,31,4.43
1977,6,7,30,4.55
1977,6,13,30,3.51
1977,7,7,31,4.93
1977,7,13,31,4.13
1977,8,7,31,3.62
1977,8,13,31,2.65
1977,9,7,30,4.43
1977,9,13,30,3.34
1977,10,7,31,4.21
1977,10,13,31,3.85
1977,11,7,30,6.65
1977,11,13,30,6.76
1977,12,7,31,5.71
1977,12,13,31,4.65
1978,1,7,31,5.76
1978,1,13,31,5.46
1978,2,7,28,4.06
1978,2,13,28,4.73
1978,3,7,31,6.28
1978,3,13,31,6.05
1978,4,7,30,4.39
1978,4,13,30,4.1
1978,5,7,31,4.2
1978,5,13,31,3.23
1978,6,7,30,4.9
1978,6,13,30,4.31
1978,7,7,31,4.34
1978,7,13,31,3.72
1978,8,7,31,4.22
1978,8,13,31,3.42
1978,9,7,30,6.13
1978,9,13,30,5.02
1978,10,7,31,3.98
1978,10,13,31,3.13
1978,11,7,30,5.61
1978,11,13,30,4.6
1978,12,7,31,5.23
1978,12,13,31,5.47
1979,1,7,31,4.29
1979,1,13,31,5.12
1979,2,7,28,4.95
1979,2,13,28,4.38
1979,3,7,31,6.83
1979,3,13,31,6.2
1979,4,7,30,4.83
1979,4,13,30,4.46
1979,5,7,31,4.51
1979,5,13,31,4.72
1979,6,7,30,4.11
1979,6,13,30,3.96
1979,7,7,31,4.42
1979,7,13,31,4.05
1979,8,7,31,3.77
1979,8,13,31,3.87
1979,9,7,30,4.25
1979,9,13,30,3.8
1979,10,7,31,4.14
1979,10,13,31,3.73
1979,11,7,30,5.09
1979,11,13,30,5.17
1979,12,7,31,6.73
1979,12,13,31,7.06
1980,1,7,31,3.55
1980,1,13,31,4.84
1980,2,7,29,3.44
1980,2,13,29,4.47
1980,3,7,31,4.77
1980,3,13,31,4.9
1980,4,7,30,4.74
1980,4,13,30,4.64
1980,5,7,31,3.98
1980,5,13,31,4.5
1980,6,7,30,3.72
1980,6,13,30,4.54
1980,7,7,31,3.81
1980,7,13,31,4.53
1980,8,7,31,4.04
1980,8,13,31,4.23
1980,9,7,30,3.34
1980,9,13,30,4
1980,10,7,31,4.96
1980,10,13,31,5.08
1980,11,7,30,6.05
1980,11,13,30,6.52
1980,12,7,31,6.45
1980,12,13,31,6.66
1981,1,7,31,5.18
1981,1,13,31,5.35
1981,2,7,28,4.69
1981,2,13,28,4.68
1981,3,7,31,5.57
1981,3,13,31,6.3
1981,4,7,30,4.34
1981,4,13,30,4.26
1981,5,7,31,3.57
1981,5,13,31,4.19
1981,6,7,30,4.45
1981,6,13,30,4.54
1981,7,7,31,3.65
1981,7,13,31,4.32
1981,8,7,31,3.35
1981,8,13,31,3.23
1981,9,7,30,3.55
1981,9,13,30,4.04
1981,10,7,31,5.1
1981,10,13,31,6.06
1981,11,7,30,5.99
1981,11,13,30,5.86
1981,12,7,31,3.71
1981,12,13,31,4.85
1982,1,7,31,4.13
1982,1,13,31,5
1982,2,7,28,4.48
1982,2,13,28,4.45
1982,3,7,31,5.31
1982,3,13,31,5.8
1982,4,7,30,5.08
1982,4,13,30,4.9
1982,5,7,31,3.89
1982,5,13,31,3.98
1982,6,7,30,3.83
1982,6,13,30,4.24
1982,7,7,31,3.84
1982,7,13,31,3.8
1982,8,7,31,4.37
1982,8,13,31,4.49
1982,9,7,30,3.34
1982,9,13,30,3.78
1982,10,7,31,3.43
1982,10,13,31,4.59
1982,11,7,30,5.56
1982,11,13,30,6.12
1982,12,7,31,5.6
1982,12,13,31,6.08
1983,1,7,31,8.92
1983,1,13,31,7.81
1983,2,7,28,4.84
1983,2,13,28,5.72
1983,3,7,31,6.26
1983,3,13,31,5.81
1983,4,7,30,4.86
1983,4,13,30,5.3
1983,5,7,31,4.76
1983,5,13,31,5.41
1983,6,7,30,4.64
1983,6,13,30,4.54
1983,7,7,31,3.51
1983,7,13,31,3.45
1983,8,7,31,4.02
1983,8,13,31,3.89
1983,9,7,30,5.89
1983,9,13,30,6.23
1983,10,7,31,6.28
1983,10,13,31,5.66
1983,11,7,30,4.56
1983,11,13,30,4.16
1983,12,7,31,5.89
1983,12,13,31,5.44
1984,1,7,31,7.74
1984,1,13,31,7.69
1984,2,7,29,5.56
1984,2,13,29,5.25
1984,3,7,31,5.09
1984,3,13,31,4.32
1984,4,7,30,3.87
1984,4,13,30,3.58
1984,5,7,31,4.65
1984,5,13,31,3.89
1984,6,7,30,5.18
1984,6,13,30,3.89
1984,7,7,31,4.54
1984,7,13,31,3.71
1984,8,7,31,3.44
1984,8,13,31,3.11
1984,9,7,30,4.68
1984,9,13,30,4.54
1984,10,7,31,5.51
1984,10,13,31,4.96
1984,11,7,30,5.55
1984,11,13,30,4.62
1984,12,7,31,4.79
1984,12,13,31,4.42
1985,1,7,31,5.06
1985,1,13,31,4.93
1985,2,7,28,4.84
1985,2,13,28,4.14
1985,3,7,31,4.79
1985,3,13,31,4.95
1985,4,7,30,5.9
1985,4,13,30,5.61
1985,5,7,31,4.76
1985,5,13,31,3.92
1985,6,7,30,4.36
1985,6,13,30,4.36
1985,7,7,31,4.53
1985,7,13,31,4.12
1985,8,7,31,4.85
1985,8,13,31,4.47
1985,9,7,30,4.77
1985,9,13,30,3.95
1985,10,7,31,3.73
1985,10,13,31,3.4
1985,11,7,30,5.31
1985,11,13,30,5.13
1985,12,7,31,6.28
1985,12,13,31,5.82
1986,1,7,31,6.76
1986,1,13,31,6.79
1986,2,7,28,5.44
1986,2,13,28,4.72
1986,3,7,31,5.77
1986,3,13,31,5.66
1986,4,7,30,4.93
1986,4,13,30,5.2
1986,5,7,31,5.02
1986,5,13,31,4.49
1986,6,7,30,4.5
1986,6,13,30,4.55
1986,7,7,31,4.12
1986,7,13,31,3.77
1986,8,7,31,4.71
1986,8,13,31,4.47
1986,9,7,30,3.88
1986,9,13,30,4.12
1986,10,7,31,4.84
1986,10,13,31,5.1
1986,11,7,30,6.21
1986,11,13,30,6.23
1986,12,7,31,6.69
1986,12,13,31,6.56
1987,1,7,31,5.3
1987,1,13,31,4.36
1987,2,7,28,4.67
1987,2,13,28,4.49
1987,3,7,31,5.71
1987,3,13,31,5.7
1987,4,7,30,4.38
1987,4,13,30,4.26
1987,5,7,31,5.41
1987,5,13,31,4.77
1987,6,7,30,4.55
1987,6,13,30,4.56
1987,7,7,31,4.35
1987,7,13,31,4.2
1987,8,7,31,4.35
1987,8,13,31,3.96
1987,9,7,30,4.04
1987,9,13,30,4.27
1987,10,7,31,5.15
1987,10,13,31,4.82
1987,11,7,30,4.66
1987,11,13,30,4.89
1987,12,7,31,5.37
1987,12,13,31,5.28
1988,1,7,31,6.5
1988,1,13,31,7.26
1988,2,7,29,7.76
1988,2,13,29,6.99
1988,3,7,31,5.88
1988,3,13,31,6.07
1988,4,7,30,4.89
1988,4,13,30,4.46
1988,5,7,31,5.08
1988,5,13,31,4.73
1988,6,7,30,4.36
1988,6,13,30,3.6
1988,7,7,31,4.53
1988,7,13,31,5.05
1988,8,7,31,4.19
1988,8,13,31,4
1988,9,7,30,4.83
1988,9,13,30,4.82
1988,10,7,31,4.56
1988,10,13,31,4.49
1988,11,7,30,4.41
1988,11,13,30,3.98
1988,12,7,31,6.16
1988,12,13,31,5.27
1989,1,7,31,5.01
1989,1,13,31,4.37
1989,2,7,28,6.6
1989,2,13,28,5.83
1989,3,7,31,5.97
1989,3,13,31,5.73
1989,4,7,30,4.9
1989,4,13,30,4.62
1989,5,7,31,4.21
1989,5,13,31,3.82
1989,6,7,30,3.26
1989,6,13,30,3.43
1989,7,7,31,4.05
1989,7,13,31,3.92
1989,8,7,31,3.99
1989,8,13,31,3.93
1989,9,7,30,3.42
1989,9,13,30,3.47
1989,10,7,31,5.11
1989,10,13,31,5.13
1989,11,7,30,3.86
1989,11,13,30,4.12
1989,12,7,31,4.46
1989,12,13,31,4.86
1990,1,7,31,7.17
1990,1,13,31,6.71
1990,2,7,28,8.15
1990,2,13,28,8.04
1990,3,7,31,6.45
1990,3,13,31,5.59
1990,4,7,30,5.1
1990,4,13,30,4.71
1990,5,7,31,3.43
1990,5,13,31,3.81
1990,6,7,30,3.6
1990,6,13,30,4.04
1990,7,7,31,4.43
1990,7,13,31,4.36
1990,8,7,31,3.62
1990,8,13,31,3.75
1990,9,7,30,4.17
1990,9,13,30,4.37
1990,10,7,31,4.97
1990,10,13,31,5.02
1990,11,7,30,3.91
1990,11,13,30,4.68
1990,12,7,31,5.51
1990,12,13,31,5.35
1991,1,7,31,5.46
1991,1,13,31,5.86
1991,2,7,28,4.5
1991,2,13,28,4.25
1991,3,7,31,4
1991,3,13,31,4.35
1991,4,7,30,4.92
1991,4,13,30,4.85
1991,5,7,31,4.47
1991,5,13,31,3.85
1991,6,7,30,4.78
1991,6,13,30,5.2
1991,7,7,31,4.11
1991,7,13,31,4.16
1991,8,7,31,3.62
1991,8,13,31,3.43
1991,9,7,30,3.63
1991,9,13,30,3.95
1991,10,7,31,4.03
1991,10,13,31,4.04
1991,11,7,30,5.01
1991,11,13,30,5.46
1991,12,7,31,4.86
1991,12,13,31,4.72
1992,1,7,31,4.92
1992,1,13,31,4.84
1992,2,7,29,5.29
1992,2,13,29,5.02
1992,3,7,31,5.88
1992,3,13,31,5.68
1992,4,7,30,4.94
1992,4,13,30,4.81
1992,5,7,31,4.8
1992,5,13,31,4.59
1992,6,7,30,4.1
1992,6,13,30,3.68
1992,7,7,31,4.15
1992,7,13,31,3.9
1992,8,7,31,4.94
1992,8,13,31,4.88
1992,9,7,30,4.25
1992,9,13,30,4.59
1992,10,7,31,4.51
1992,10,13,31,5.11
1992,11,7,30,6.05
1992,11,13,30,6.57
1992,12,7,31,4.4
1992,12,13,31,4.91
1993,1,7,31,7.84
1993,1,13,31,7.34
1993,2,7,28,4.7
1993,2,13,28,3.88
1993,3,7,31,4.98
1993,3,13,31,4.58
1993,4,7,30,4.47
1993,4,13,30,4.62
1993,5,7,31,4.7
1993,5,13,31,4.66
1993,6,7,30,3.9
1993,6,13,30,4.06
1993,7,7,31,4.59
1993,7,13,31,4.91
1993,8,7,31,3.89
1993,8,13,31,4
1993,9,7,30,3.49
1993,9,13,30,4.42
1993,10,7,31,4.11
1993,10,13,31,4.6
1993,11,7,30,4.04
1993,11,13,30,4.2
1993,12,7,31,6.59
1993,12,13,31,7.63
1994,1,7,31,6.82
1994,1,13,31,6.88
1994,2,7,28,4.32
1994,2,13,28,4.38
1994,3,7,31,7.3
1994,3,13,31,6.81
1994,4,7,30,5.04
1994,4,13,30,5.36
1994,5,7,31,4.08
1994,5,13,31,4.04
1994,6,7,30,4.5
1994,6,13,30,4.74
1994,7,7,31,3.14
1994,7,13,31,3.31
1994,8,7,31,3.98
1994,8,13,31,4.27
1994,9,7,30,4.45
1994,9,13,30,4.72
1994,10,7,31,4.15
1994,10,13,31,4.76
1994,11,7,30,4.46
1994,11,13,30,4.18
1994,12,7,31,5.9
1994,12,13,31,6.63
1995,1,7,31,6.35
1995,1,13,31,6.79
1995,2,7,28,6.69
1995,2,13,28,7.29
1995,3,7,31,6.79
1995,3,13,31,6.42
1995,4,7,30,5.33
1995,4,13,30,4.51
1995,5,7,31,3.69
1995,5,13,31,3.8
1995,6,7,30,4.27
1995,6,13,30,4.23
1995,7,7,31,3.74
1995,7,13,31,3.63
1995,8,7,31,3.94
